player_id,rank_tier,win,lose,mmr_estimate
975218,72.0,880,812,4121.0
980399,44.0,2389,2359,2887.0
986425,64.0,6016,5755,4237.0
995380,51.0,3892,3652,2890.0
995571,45.0,1375,1433,3353.0
996451,32.0,1521,1439,2945.0
996597,55.0,2088,1829,3586.0
1002362,54.0,1422,1641,3454.0
1004660,65.0,2118,2068,4041.0
1021187,62.0,2673,2378,3898.0
1028237,75.0,2819,2671,5226.0
1035367,,0,6,4783.0
1044222,71.0,2073,1820,2363.0
1051011,31.0,640,676,2446.0
1053153,43.0,4809,4862,3537.0
1065556,24.0,3026,3058,3127.0
1078022,80.0,3456,3199,4927.0
1089531,73.0,3282,2866,4254.0
1091486,52.0,1478,1477,2891.0
1093566,75.0,7972,7746,4125.0
1099339,75.0,2377,2124,4229.0
1114032,80.0,2870,2601,4235.0
1128731,65.0,3797,3699,3865.0
1131756,23.0,2707,2548,1821.0
1141027,55.0,2362,2437,3694.0
1143505,80.0,5777,5129,4627.0
1152929,72.0,4149,4157,4283.0
1163009,73.0,6919,6831,4068.0
1173398,,14,25,1661.0
1183804,61.0,6169,6093,3278.0
1185644,80.0,4067,3232,4096.0
1229058,63.0,1204,1234,3583.0
1235374,,3171,3070,4937.0
1255058,32.0,1794,1824,3089.0
1264154,42.0,1495,1685,3725.0
1277993,54.0,7256,7070,3632.0
1296625,80.0,5285,3606,6035.0
1327306,61.0,4807,4652,3869.0
1348404,52.0,3066,3147,3858.0
1348748,80.0,3452,3032,4607.0
1400303,80.0,717,593,5862.0
1410052,44.0,1618,1670,3278.0
1440456,51.0,37,25,
1470116,42.0,752,821,3351.0
1506054,,869,834,3657.0
1507712,51.0,4225,4159,4037.0
1509257,80.0,1788,1409,3849.0
1522705,80.0,9950,8753,5742.0
1524235,80.0,2324,2067,4053.0
1531396,25.0,409,359,2414.0
1555277,44.0,4884,4935,3887.0
1558845,53.0,831,671,3225.0
1565150,80.0,4322,4040,4425.0
1576542,72.0,5905,5811,5167.0
1590535,34.0,2568,2596,2823.0
1607376,80.0,232,183,4314.0
1656775,80.0,1714,1601,4951.0
1670463,73.0,2702,2559,4326.0
1712579,,807,823,2906.0
1730252,43.0,2044,2179,3353.0
1768511,80.0,5494,4867,5167.0
1769238,41.0,655,533,2419.0
1816162,73.0,2018,1837,4054.0
1827912,72.0,82,44,4012.0
1847650,42.0,401,383,4285.0
1861500,75.0,3460,3261,4516.0
1871638,64.0,1038,1006,3066.0
1880653,25.0,1953,1896,3146.0
1887602,,6329,5898,6276.0
1900948,80.0,4081,3815,4655.0
1905303,71.0,3301,3066,4151.0
1907894,34.0,600,615,3008.0
1917659,74.0,2070,1732,4460.0
1944907,52.0,1463,1501,3477.0
1949678,63.0,2451,2346,3974.0
1970867,43.0,6755,6724,3257.0
1974883,71.0,805,767,4742.0
1994517,72.0,1509,1399,4065.0
1994680,64.0,5085,4917,4311.0
2004628,34.0,193,217,3245.0
2100918,35.0,3129,3014,3516.0
2110826,54.0,2788,2561,3157.0
2113039,80.0,7559,6603,5874.0
2137310,45.0,2384,2389,4415.0
2184491,33.0,4246,4255,2601.0
2189352,54.0,1276,1259,4167.0
2195629,80.0,1767,1596,4680.0
2231128,71.0,2789,2726,4146.0
2248603,45.0,4626,4544,3088.0
2253294,53.0,1451,1354,3657.0
2274364,75.0,4550,4279,4199.0
2323199,75.0,2438,2165,4797.0
2372494,33.0,2182,2271,2975.0
2420500,34.0,1019,945,4268.0
